objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll1230,http://hdl.handle.net/2027/nyp.33433069121444?urlappend=%3Bseq%3D160,http://pinakes.irht.cnrs.fr/notices/cote/65942/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_210,BAV Pal. gr. 210,,13th,,Theology,Peter of Damascus|John Chrysostom,Vatican,,,,,,,,,
coll1231,http://hdl.handle.net/2027/nyp.33433069121444?urlappend=%3Bseq%3D160,http://pinakes.irht.cnrs.fr/notices/cote/65943/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_211,BAV Pal. gr. 211,,14th,,Saints lives,Nicholas Chamaetos Kabasilas,Vatican,,,,,,,,,
coll1232,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D151,https://pinakes.irht.cnrs.fr/notices/cote/65944/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_212,BAV Pal. gr. 212,,14th|16th,,Schedography|Grammar,Manuel Moschopoulos,Vatican,,,,,,,,,
coll1233,http://hdl.handle.net/2027/nyp.33433069121444?urlappend=%3Bseq%3D161,http://pinakes.irht.cnrs.fr/notices/cote/65945/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_213,BAV Pal. gr. 213,,14th|15th,,Rhetoric,Maximus Planudes|Lucian|Hermogenes,Vatican,,,,,,,,,
coll1234,http://hdl.handle.net/2027/nyp.33433069121444?urlappend=%3Bseq%3D162,http://pinakes.irht.cnrs.fr/notices/cote/65946/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_214,BAV Pal. gr. 214,,15th,,Theology|Epigrammata,Gennadios II Scholarios|Theodoret Bishop of Cyrrhus|John Mauropus,Vatican,,,,,,,,,
coll1235,http://hdl.handle.net/2027/nyp.33433069121444?urlappend=%3Bseq%3D163,http://pinakes.irht.cnrs.fr/notices/cote/65947/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_215,BAV Pal. gr. 215,,15th,,History,Herodotus,Vatican,,,,,,,,,
coll1236,http://hdl.handle.net/2027/nyp.33433069121444?urlappend=%3Bseq%3D163,http://pinakes.irht.cnrs.fr/notices/cote/65948/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_216,BAV Pal. gr. 216,,10th,,Theology,Basil the Great,Vatican,,,,,,,,,
coll1237,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D154,https://pinakes.irht.cnrs.fr/notices/cote/65949/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_217,BAV Pal. gr. 217,,13th,,Theology,Gregory Nazianzus,Vatican,,,,,,,,,
coll1238,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D155,https://pinakes.irht.cnrs.fr/notices/cote/65950/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_218,BAV Pal. gr. 218,,12th,,Theology,Gregory Nazianzus,Vatican,,,,,,,,,
coll1239,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D156,https://pinakes.irht.cnrs.fr/notices/cote/65951/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_219,BAV Pal. gr. 219,,13th|14th|15th,,Canon law,John Zonaras,Vatican,,,,,,,,,
coll1240,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D53,https://pinakes.irht.cnrs.fr/notices/cote/65755/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_22,BAV Pal. gr. 22,,14th|15th|16th,,Rhetoric,Aphthonius|Hermogenes,Vatican,,,,,,,,,
coll1241,http://hdl.handle.net/2027/nyp.33433069121444?urlappend=%3Bseq%3D168,http://pinakes.irht.cnrs.fr/notices/cote/id/65952,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_220,BAV Pal. gr. 220,,10th,,Bible|Illuminations,,Vatican,,,,,,,,,
coll1242,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D158,https://pinakes.irht.cnrs.fr/notices/cote/65952/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_220,BAV Pal. gr. 220,,10th,,Bible,,Vatican,,,,,,,,,
coll1243,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D159,https://pinakes.irht.cnrs.fr//notices/cote/65953/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_221_1,BAV Pal. gr. 221.1,,13th|16th,,Theology,John Xiphilin,Vatican,,,,,,,,,
coll1244,http://hdl.handle.net/2027/nyp.33433069121444?urlappend=%3Bseq%3D170,http://pinakes.irht.cnrs.fr/notices/cote/65955/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_223,BAV Pal. gr. 223,,15th,,,Aristophanes|Euripides,Vatican,,,,,,,,,
coll1245,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D161,https://pinakes.irht.cnrs.fr/notices/cote/65956/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_224,BAV Pal. gr. 224,,15th,,Rhetoric,Demosthenes,Vatican,,,,,,,,,
coll1246,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D162,https://pinakes.irht.cnrs.fr/notices/cote/65957/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_225,BAV Pal. gr. 225,,15th,,Psalter,,Vatican,,,,,,,,,
coll1247,http://hdl.handle.net/2027/nyp.33433069121444?urlappend=%3Bseq%3D172,http://pinakes.irht.cnrs.fr/notices/cote/65958/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_226,BAV Pal. gr. 226,,15th|16th,,Theology|Astronomy|Church councils,Augustine|John Philoponus,Vatican,,,,,,,,,
coll1248,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D164,https://pinakes.irht.cnrs.fr/notices/cote/65959/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_227,BAV Pal. gr. 227,,12th|13th,,Bible,,Vatican,,,,,,,,,
coll1249,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D164,https://pinakes.irht.cnrs.fr/notices/cote/65960/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_228,BAV Pal. gr. 228,,13th|14th,,Theology,John Chrysostom,Vatican,,,,,,,,,
coll1250,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D165,https://pinakes.irht.cnrs.fr/notices/cote/65961/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_229,BAV Pal. gr. 229,,14th,,Bible,,Vatican,,,,,,,,,
coll1251,http://hdl.handle.net/2027/nyp.33433069121444?urlappend=%3Bseq%3D176,http://pinakes.irht.cnrs.fr/notices/cote/id/65962,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_230,BAV Pal. gr. 230,,10th|11th,,Theology,Nicetas Heracleensis,Vatican,,,,,,,,,
coll1252,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D166,https://pinakes.irht.cnrs.fr/notices/cote/65963/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_231,BAV Pal. gr. 231,,13th|14th,,,Homer,Vatican,,,,,,,,,
coll1253,http://hdl.handle.net/2027/nyp.33433069121444?urlappend=%3Bseq%3D177,http://pinakes.irht.cnrs.fr/notices/cote/id/65964,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_232,BAV Pal. gr. 232,,9th|10th|11th|12th|13th|14th,,Theology,Gennadios II Scholarios,Vatican,,,,,,,,,
coll1254,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D167,https://pinakes.irht.cnrs.fr/notices/cote/65965/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_233,BAV Pal. gr. 233,,13th|14th,,Canon law|Theology,Methodius of Olympus,Vatican,,,,,,,,,
coll1255,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D169,https://pinakes.irht.cnrs.fr//notices/cote/65966/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_234,BAV Pal. gr. 234,,15th,,Grammar,Theodore Prodromos|Cyril of Alexandria|Cato,Vatican,,,,,,,,,
coll1256,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D170,https://pinakes.irht.cnrs.fr/notices/cote/65967/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_235,BAV Pal. gr. 235,,15th|16th,,Philosophy,Boethius|Thomas Aquinas|Aristotle,Vatican,,,,,,,,,
coll1257,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D170,https://pinakes.irht.cnrs.fr/notices/cote/65968/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_236,BAV Pal. gr. 236,,15th,,,Euripides,Vatican,,,,,,,,,
coll1258,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D171,https://pinakes.irht.cnrs.fr/notices/cote/65969/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_237,BAV Pal. gr. 237,,14th,,Philosophy,Themistius|Alexander Aphrodisias|Aristotle,Vatican,,,,,,,,,
coll1259,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D171,https://pinakes.irht.cnrs.fr/notices/cote/65970/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_238,BAV Pal. gr. 238,,16th,,Grammar,Manuel Moschopoulos,Vatican,,,,,,,,,
coll1260,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D171,https://pinakes.irht.cnrs.fr/notices/cote/65971/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_239,BAV Pal. gr. 239,,14th,,Theology,John Xiphilin,Vatican,,,,,,,,,
coll1261,http://hdl.handle.net/2027/nyp.33433069121444?urlappend=%3Bseq%3D65,http://pinakes.irht.cnrs.fr/notices/cote/65757/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_24,BAV Pal. gr. 24,,12th,,Theology,Gregory Nazianzus|Nicetas Heracleensis|John of Damascus,Vatican,,,,,,,,,
coll1262,http://hdl.handle.net/2027/nyp.33433069121444?urlappend=%3Bseq%3D182,http://pinakes.irht.cnrs.fr/notices/cote/65972/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_240,BAV Pal. gr. 240,,15th,,,Aristophanes,Vatican,,,,,,,,,
coll1263,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D172,https://pinakes.irht.cnrs.fr/notices/cote/65973/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_241,BAV Pal. gr. 241,,15th,,Bible|Menologion,,Vatican,,,,,,,,,
coll1264,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D172,https://pinakes.irht.cnrs.fr/notices/cote/65974/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_242,BAV Pal. gr. 242,,13th|14th,,Philosophy,John of Damascus,Vatican,,,,,,,,,
coll1265,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D173,https://pinakes.irht.cnrs.fr/notices/cote/65975/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_243,BAV Pal. gr. 243,,14th,,Theology|Heirmologion|Hymns,,Vatican,,,,,,,,,
coll1266,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D175,https://pinakes.irht.cnrs.fr/notices/cote/65976/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_244,BAV Pal. gr. 244,,15th,,Lexicon,Suda,Vatican,,,,,,,,,
coll1267,http://hdl.handle.net/2027/nyp.33433069121444?urlappend=%3Bseq%3D185,http://pinakes.irht.cnrs.fr/notices/cote/65977/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_245,BAV Pal. gr. 245,,12th|13th,,Theology,Basil the Great|John Chrysostom|Gregory of Nyssa|Anastasius Sinaita|Epiphanius,Vatican,,,,,,,,,
coll1268,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D177,https://pinakes.irht.cnrs.fr/notices/cote/65978/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_246,BAV Pal. gr. 246,,15th,,,Homer,Vatican,,,,,,,,,
coll1269,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D177,https://pinakes.irht.cnrs.fr/notices/cote/65979/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_247,BAV Pal. gr. 247,,12th|15th,,Theology,Nicetas Heracleensis,Vatican,,,,,,,,,
coll1270,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D177,https://pinakes.irht.cnrs.fr/notices/cote/65980/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_248,BAV Pal. gr. 248,,14th|15th,,Theology|Rhetoric|Philosophy,Philo,Vatican,,,,,,,,,
coll1271,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D179,https://pinakes.irht.cnrs.fr/notices/cote/65981/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_249,BAV Pal. gr. 249,,10th|11th,,Law,,Vatican,,,,,,,,,
coll1272,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D56,https://pinakes.irht.cnrs.fr/notices/cote/65758/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_25,BAV Pal. gr. 25,,10th|13th,,Theology,Gregory Nazianzus,Vatican,,,,,,,,,
coll1273,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D179,https://pinakes.irht.cnrs.fr/notices/cote/65982/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_250,BAV Pal. gr. 250,,10th|11th|12th|13th|14th,,Theology,Gregory Nazianzus,Vatican,,,,,,,,,
coll1274,http://hdl.handle.net/2027/nyp.33433069121444?urlappend=%3Bseq%3D190,http://pinakes.irht.cnrs.fr/notices/cote/65983/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_251,BAV Pal. gr. 251,,15th,,Medicine,Galen,Vatican,,,,,,,,,
coll1275,http://hdl.handle.net/2027/nyp.33433069121444?urlappend=%3Bseq%3D190,http://pinakes.irht.cnrs.fr/notices/cote/65985/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_253,BAV Pal. gr. 253,,15th,,Geography,,Vatican,,,,,,,,,
coll1276,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D180,https://pinakes.irht.cnrs.fr/notices/cote/65986/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_254,BAV Pal. gr. 254,,15th,,Rhetoric,Hermogenes|Maximus Planudes|Dionysius Halicarnasseus,Vatican,,,,,,,,,
coll1277,http://hdl.handle.net/2027/nyp.33433069121444?urlappend=%3Bseq%3D191,http://pinakes.irht.cnrs.fr/notices/cote/65987/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_255,BAV Pal. gr. 255,,15th,,Philosophy,Aristotle|Porphyry,Vatican,,,,,,,,,
coll1278,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D181,https://pinakes.irht.cnrs.fr/notices/cote/65988/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_256,BAV Pal. gr. 256,,15th,,History|Law|Canon law|Philosophy,Arrian|Ammonius|Aristotle|Constantine Harmenopoulos|Matthew Blastares|Porphyry,Vatican,,,,,,,,,
coll1279,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D183,https://pinakes.irht.cnrs.fr/notices/cote/65989/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_257,BAV Pal. gr. 257,,15th,,Theology,John Chrysostom,Vatican,,,,,,,,,
coll1280,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D184,https://pinakes.irht.cnrs.fr/notices/cote/65990/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_258,BAV Pal. gr. 258,,15th,,Florilegium,,Vatican,,,,,,,,,
coll1281,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D184,https://pinakes.irht.cnrs.fr/notices/cote/65991/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_259,BAV Pal. gr. 259,,11th,,Theology,John Chrysostom,Vatican,,,,,,,,,
coll1282,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D57,https://pinakes.irht.cnrs.fr/notices/cote/65759/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_26,BAV Pal. gr. 26,,13th,,Theology,John Chrysostom,Vatican,,,,,,,,,
coll1283,http://hdl.handle.net/2027/nyp.33433069121444?urlappend=%3Bseq%3D195,http://pinakes.irht.cnrs.fr/notices/cote/65992/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_260,BAV Pal. gr. 260,,14th,,Animals,Aristotle,Vatican,,,,,,,,,
coll1284,http://hdl.handle.net/2027/nyp.33433069121444?urlappend=%3Bseq%3D195,http://pinakes.irht.cnrs.fr/notices/cote/65993/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_261,BAV Pal. gr. 261,,15th,,Rhetoric,Diogenes Laertius|Lucian,Vatican,,,,,,,,,
coll1285,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D186,https://pinakes.irht.cnrs.fr/notices/cote/65994/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_262,BAV Pal. gr. 262,,15th,,Philosophy|Mathematics|Geometry|Astronomy,,Vatican,,,,,,,,,
coll1286,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D186,https://pinakes.irht.cnrs.fr/notices/cote/65995/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_263,BAV Pal. gr. 263,,14th,,Schedography|Grammar,Manuel Moschopoulos,Vatican,,,,,,,,,
coll1287,http://hdl.handle.net/2027/nyp.33433069121444?urlappend=%3Bseq%3D198,http://pinakes.irht.cnrs.fr/notices/cote/id/65997,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_265,BAV Pal. gr. 265,,15th,,Horologion,,Vatican,,,,,,,,,
coll1288,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D188,https://pinakes.irht.cnrs.fr/notices/cote/65998/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_266,BAV Pal. gr. 266,,15th,,History,Laonicus Chalcocondyles,Vatican,,,,,,,,,
coll1289,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D188,https://pinakes.irht.cnrs.fr/notices/cote/65999/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_267,BAV Pal. gr. 267,,15th,,Animals,Aelian,Vatican,,,,,,,,,
coll1290,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D188,https://pinakes.irht.cnrs.fr/notices/cote/66000/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_268,BAV Pal. gr. 268,,14th,,History,Eusebius of Caesarea,Vatican,,,,,,,,,
coll1291,http://hdl.handle.net/2027/nyp.33433069121444?urlappend=%3Bseq%3D198,http://pinakes.irht.cnrs.fr/notices/cote/66001/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_269,BAV Pal. gr. 269,,15th,,Theology|Saints lives,Ephraem|John Chrysostom|Gregory Nazianzus,Vatican,,,,,,,,,
coll1292,http://hdl.handle.net/2027/nyp.33433069121444?urlappend=%3Bseq%3D67,http://pinakes.irht.cnrs.fr/notices/cote/65760/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_27,BAV Pal. gr. 27,,10th|11th,,Saints lives,,Vatican,,,,,,,,,
coll1293,http://hdl.handle.net/2027/nyp.33433069121444?urlappend=%3Bseq%3D200,http://pinakes.irht.cnrs.fr/notices/cote/66002/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_270,BAV Pal. gr. 270,,15th|16th,,Philosophy|Astronomy,Porphyry|Aristotle|Alexander Aphrodisias|Ptolemy,Vatican,,,,,,,,,
coll1294,http://hdl.handle.net/2027/nyp.33433069121444?urlappend=%3Bseq%3D200,http://pinakes.irht.cnrs.fr/notices/cote/id/66003,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_271,BAV Pal. gr. 271,,13th,,History,John Zonaras,Vatican,,,,,,,,,
coll1295,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D191,https://pinakes.irht.cnrs.fr/notices/cote/66005/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_273,BAV Pal. gr. 273,,13th,,Theology,Cyril of Alexandria|Theodoret Bishop of Cyrrhus,Vatican,,,,,,,,,
coll1296,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D192,https://pinakes.irht.cnrs.fr/notices/cote/66006/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_274,BAV Pal. gr. 274,,13th,,Theology,Euthymius Zigabenus,Vatican,,,,,,,,,
coll1297,http://hdl.handle.net/2027/nyp.33433069121444?urlappend=%3Bseq%3D202,http://pinakes.irht.cnrs.fr/notices/cote/66007/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_275,BAV Pal. gr. 275,,15th,,Rhetoric|Letters,Libanius|Aristides|Michael Apostolius,Vatican,,,,,,,,,
coll1298,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D194,https://pinakes.irht.cnrs.fr/notices/cote/66008/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_276,BAV Pal. gr. 276,,15th,,Philosophy,Epictetus|Simplicius,Vatican,,,,,,,,,
coll1299,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D194,https://pinakes.irht.cnrs.fr/notices/cote/66009/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_277,BAV Pal. gr. 277,,15th,,Rhetoric,Dionysius Halicarnasseus|Menander Rhetor|Aristides|Libanius,Vatican,,,,,,,,,
coll1300,http://hdl.handle.net/2027/nyp.33433069121444?urlappend=%3Bseq%3D205,http://pinakes.irht.cnrs.fr/notices/cote/66010/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_278,BAV Pal. gr. 278,,15th,,Rhetoric|Astronomy,Libanius|Aristides,Vatican,,,,,,,,,
coll1301,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D58,https://pinakes.irht.cnrs.fr/notices/cote/65761/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_28,BAV Pal. gr. 28,,15th,,Theology,John Chrysostom,Vatican,,,,,,,,,
coll1302,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D199,https://pinakes.irht.cnrs.fr/notices/cote/66012/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_280,BAV Pal. gr. 280,,15th,,,Apollonius,Vatican,,,,,,,,,
coll1303,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D200,https://pinakes.irht.cnrs.fr/notices/cote/66014/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_282,BAV Pal. gr. 282,,13th|14th,,Rhetoric,Libanius,Vatican,,,,,,,,,
coll1304,http://hdl.handle.net/2027/nyp.33433069121444?urlappend=%3Bseq%3D212,http://pinakes.irht.cnrs.fr/notices/cote/66016/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_284,BAV Pal. gr. 284,,10th|11th,,History,Flavius Josephus,Vatican,,,,,,,,,
coll1305,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D202,https://pinakes.irht.cnrs.fr/notices/cote/66017/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_285,BAV Pal. gr. 285,,15th,,Canon law,,Vatican,,,,,,,,,
coll1306,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D202,https://pinakes.irht.cnrs.fr/notices/cote/66018/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_286,BAV Pal. gr. 286,,15th,,History,Plutarch,Vatican,,,,,,,,,
coll1307,http://hdl.handle.net/2027/nyp.33433069121444?urlappend=%3Bseq%3D213,http://pinakes.irht.cnrs.fr/notices/cote/66019/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_287,BAV Pal. gr. 287,,14th|15th,,,Euripides|Sophocles|Aeschylus,Vatican,,,,,,,,,
coll1308,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D204,https://pinakes.irht.cnrs.fr/notices/cote/66020/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_288,BAV Pal. gr. 288,,12th,,Psalter,,Vatican,,,,,,,,,
coll1309,http://hdl.handle.net/2027/nyp.33433069121444?urlappend=%3Bseq%3D215,http://pinakes.irht.cnrs.fr/notices/cote/66021/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_289,BAV Pal. gr. 289,,15th,,,Aristophanes,Vatican,,,,,,,,,
coll1310,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D58,https://pinakes.irht.cnrs.fr//notices/cote/65762/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_29,BAV Pal. gr. 29,,14th,,Rhetoric,Aristides,Vatican,,,,,,,,,
coll1311,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D205,https://pinakes.irht.cnrs.fr/notices/cote/66022/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_290,BAV Pal. gr. 290,,15th,,Philosophy,Hesiod|Plato,Vatican,,,,,,,,,
coll1312,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D205,https://pinakes.irht.cnrs.fr/notices/cote/66023/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_291,BAV Pal. gr. 291,,15th,,Grammar,Manuel Chrysoloras,Vatican,,,,,,,,,
coll1313,http://hdl.handle.net/2027/nyp.33433069121444?urlappend=%3Bseq%3D216,http://pinakes.irht.cnrs.fr/notices/cote/66025/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_293,BAV Pal. gr. 293,,15th,,,Aristophanes|Hesiod,Vatican,,,,,,,,,
coll1314,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D206,https://pinakes.irht.cnrs.fr/notices/cote/66026/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_294,BAV Pal. gr. 294,,15th,,Grammar,Manuel Chrysoloras,Vatican,,,,,,,,,
coll1315,http://hdl.handle.net/2027/nyp.33433069121444?urlappend=%3Bseq%3D217,http://pinakes.irht.cnrs.fr/notices/cote/66027/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_295,BAV Pal. gr. 295,,15th|16th,,Philosophy|Medicine|Theology,Aristotle|Galen|John of Damascus,Vatican,,,,,,,,,
coll1316,https://hdl.handle.net/2027/umn.319510019894110?urlappend=%3Bseq%3D%3D208,https://pinakes.irht.cnrs.fr/notices/cote/66028/,https://digi.ub.uni-heidelberg.de/diglit/bav_pal_gr_296,BAV Pal. gr. 296,,15th|16th,,Geography,,Vatican,,,,,,,,,
